Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
50000,1,1,1,2000,1,8760,8760,1,15700,4484,2140
,2,0.9,0.04,1800,,,,2,14848,4240,2024
,3,0.55,0.024,1100,,,,3,14214,4058,1938
,4,0.2,0.003,400,,,,4,13894,3968,1894
,,,,,,,,5,13844,3954,1888
,,,,,,,,6,14090,4024,1920
,,,,,,,,7,14614,4174,1992
,,,,,,,,8,15088,4308,2058
,,,,,,,,9,15892,4538,2166
,,,,,,,,10,16680,4764,2274
,,,,,,,,11,17156,4898,2338
,,,,,,,,12,17332,4948,2362
,,,,,,,,13,17414,4974,2374
,,,,,,,,14,17260,4928,2352
,,,,,,,,15,17088,4880,2330
,,,,,,,,16,17188,4908,2342
,,,,,,,,17,18862,5386,2572
,,,,,,,,18,20450,5840,2788
,,,,,,,,19,20330,5806,2772
,,,,,,,,20,19708,5630,2686
,,,,,,,,21,18980,5420,2588
,,,,,,,,22,17964,5130,2450
,,,,,,,,23,16706,4770,2278
,,,,,,,,24,15296,4368,2084
,,,,,,,,25,14102,4026,1922
,,,,,,,,26,13378,3820,1824
,,,,,,,,27,13030,3722,1776
,,,,,,,,28,12952,3698,1766
,,,,,,,,29,13236,3780,1804
,,,,,,,,30,13960,3986,1902
,,,,,,,,31,15046,4296,2050
,,,,,,,,32,15936,4550,2172
,,,,,,,,33,17026,4862,2322
,,,,,,,,34,18144,5182,2472
,,,,,,,,35,18964,5416,2584
,,,,,,,,36,19300,5510,2632
,,,,,,,,37,19270,5502,2626
,,,,,,,,38,19144,5468,2610
,,,,,,,,39,19084,5450,2602
,,,,,,,,40,19374,5532,2642
,,,,,,,,41,21192,6052,2888
,,,,,,,,42,23030,6578,3140
,,,,,,,,43,22828,6520,3112
,,,,,,,,44,22276,6362,3038
,,,,,,,,45,21376,6104,2914
,,,,,,,,46,19958,5700,2720
,,,,,,,,47,18200,5198,2482
,,,,,,,,48,16608,4744,2264
,,,,,,,,49,15552,4442,2120
,,,,,,,,50,15026,4290,2048
,,,,,,,,51,14772,4218,2014
,,,,,,,,52,14802,4228,2018
,,,,,,,,53,15334,4378,2090
,,,,,,,,54,16910,4828,2304
,,,,,,,,55,19696,5624,2686
,,,,,,,,56,21258,6070,2898
,,,,,,,,57,21522,6146,2934
,,,,,,,,58,21670,6188,2954
,,,,,,,,59,21864,6244,2980
,,,,,,,,60,21900,6254,2986
,,,,,,,,61,21810,6230,2974
,,,,,,,,62,21780,6222,2968
,,,,,,,,63,21698,6196,2958
,,,,,,,,64,21998,6282,2998
,,,,,,,,65,23716,6772,3232
,,,,,,,,66,25592,7308,3490
,,,,,,,,67,25642,7322,3496
,,,,,,,,68,25210,7200,3438
,,,,,,,,69,24390,6966,3326
,,,,,,,,70,22952,6554,3130
,,,,,,,,71,21030,6006,2868
,,,,,,,,72,19348,5526,2638
,,,,,,,,73,18302,5228,2494
,,,,,,,,74,17752,5070,2420
,,,,,,,,75,17472,4990,2382
,,,,,,,,76,17504,4998,2386
,,,,,,,,77,17980,5136,2452
,,,,,,,,78,19466,5560,2654
,,,,,,,,79,22168,6332,3022
,,,,,,,,80,23640,6752,3222
,,,,,,,,81,23668,6760,3228
,,,,,,,,82,23606,6742,3218
,,,,,,,,83,23554,6726,3210
,,,,,,,,84,23322,6660,3180
,,,,,,,,85,22988,6566,3134
,,,,,,,,86,22790,6510,3108
,,,,,,,,87,22612,6458,3082
,,,,,,,,88,22846,6524,3114
,,,,,,,,89,24442,6982,3332
,,,,,,,,90,25742,7352,3510
,,,,,,,,91,25544,7294,3482
